"Ручки шариковые (10 шт.)",40,3.99,Канцелярия
"Мяч футбольный Adidas",10,29.99,Спорт
"Роликовые коньки",6,79.99,Спорт
"Йога-мат",12,19.99,Спорт
"Бинокль туристический",5,49.99,Аксессуары
"Чемодан на колесах",4,89.99,Путешествия
"Кухонные весы",15,14.99,Кухонная техника
"Электрическая зубная щетка Oral-B",10,29.99,Бытовая техника
"Вафельница Tefal",6,49.99,Кухонная техника
"Сушилка для овощей",8,69.99,Кухонная техника
"Геймерская мышь Logitech",10,39.99,Компьютеры
"Клавиатура механическая",7,79.99,Компьютеры
"Монитор Samsung 27''",4,199.99,Компьютеры
"Принтер Epson",6,119.99,Компьютеры
"Зарядное устройство Baseus",20,19.99,Электроника
"Мультиварка Redmond",8,99.99,Кухонная техника
"Сковорода Tefal",12,29.99,Кухонная техника
"Чайник электрический Bosch",10,34.99,Кухонная техника
"Вентилятор настольный",15,24.99,Бытовая техника
"Увлажнитель воздуха",7,49.99,Бытовая техника
"Пылесос робот Xiaomi",3,249.99,Бытовая техника
"Лежак для кошки",12,25.99,Товары для животных
"Игрушка для собак",20,9.99,Товары для животных
"Махровые полотенца (набор)",15,19.99,Домашние товары
"Коврик для ванной",20,12.99,Домашние товары
"Линейка металлическая",30,2.99,Канцелярия
"Рюкзак для ноутбука",10,59.99,Аксессуары
"Мышь беспроводная",20,15.99,Компьютеры
"Кулер для процессора",8,29.99,Компьютеры
"Пауэрбанк Xiaomi",10,25.99,Электроника
"Чехол для планшета",12,14.99,Аксессуары
"Шампунь Head & Shoulders",25,6.99,Косметика
"Крем для рук",30,4.99,Косметика
"Духи Chanel No.5",5,99.99,Косметика
"Пазл 1000 элементов",10,12.99,Игрушки
"Конструктор LEGO",8,59.99,Игрушки
"Настольная игра 'Монополия'",6,29.99,Игрушки
"Детский рюкзак",10,19.99,Аксессуары
"Набор для пикника",5,39.99,Товары для отдыха
"Палатка туристическая",4,89.99,Товары для отдыха
"Газовая горелка",8,19.99,Товары для отдыха
"Термос 1 литр",15,24.99,Товары для отдыха
"Скатерть праздничная",12,14.99,Домашние товары
