item_name,quantity,price,category
"Смартфон Samsung Galaxy S23",5,799.99,Электроника
"Телевизор LG OLED 55",3,1199.99,Электроника
"Ноутбук Apple MacBook Air",7,999.99,Компьютеры
"Холодильник Bosch 3000",2,599.99,Бытовая техника
"Микроволновая печь Panasonic",10,129.99,Бытовая техника
"Блендер Philips",12,49.99,Кухонная техника
"Пылесос Dyson V15",4,699.99,Бытовая техника
"Смарт-часы Garmin",8,299.99,Электроника
"Кроссовки Nike Air Max",15,120.00,Обувь
"Куртка зимняя Columbia",6,199.99,Одежда
"Джинсы Levi's",10,69.99,Одежда
"Носки мужские Puma (5 пар)",20,12.99,Одежда
"Шарф шерстяной",15,25.00,Аксессуары
"Рюкзак городской Xiaomi",8,45.99,Аксессуары
"Беспроводные наушники Sony",10,199.99,Электроника
"Портативная колонка JBL",12,99.99,Электроника
"Кофеварка De'Longhi",5,149.99,Кухонная техника
"Мебельный стол IKEA",3,89.99,Мебель
"Кресло офисное",7,129.99,Мебель
"Лампа настольная Xiaomi",15,29.99,Аксессуары
"Подушка ортопедическая",20,19.99,Домашние товары
"Плед флисовый",12,14.99,Домашние товары
"Игровая приставка PlayStation 5",2,499.99,Электроника
"Электросамокат Xiaomi",4,399.99,Транспорт
"Детский велосипед",6,99.99,Транспорт
"Набор инструментов Stanley",5,59.99,Инструменты
"Дрель Bosch",7,89.99,Инструменты
"Книга 'Гарри Поттер'",15,19.99,Книги
"Книга 'Мастер и Маргарита'",20,9.99,Книги
"Обложка для паспорта",30,5.99,Аксессуары
"Термокружка",25,15.99,Домашние товары
"Фитнес-браслет Huawei",10,49.99,Электроника
"Велосипедный шлем",8,39.99,Аксессуары
"Наушники проводные Philips",20,19.99,Электроника
"Фотоаппарат Canon",3,349.99,Электроника
"Зеркало настенное",7,49.99,Мебель
"Набор кастрюль Tefal",10,79.99,Кухонная техника
"Чехол для смартфона",25,9.99,Аксессуары
"Планшет Apple iPad",4,399.99,Электроника
"Гитара акустическая",5,129.99,Музыкальные инструменты
"Электропианино Yamaha",2,599.99,Музыкальные инструменты
"Бумага для принтера",50,4.99,Канцелярия
