id,name,price,category,seller_id,quantity
4,Смартфон Samsung Galaxy S23,799.99,Электроника,4,5
5,Телевизор LG OLED 55,1199.99,Электроника,4,3
6,Ноутбук Apple MacBook Air,999.99,Компьютеры,4,7
7,Холодильник Bosch 3000,599.99,Бытовая техника,4,2
8,Микроволновая печь Panasonic,129.99,Бытовая техника,4,10
9,Блендер Philips,49.99,Кухонная техника,4,12
10,Пылесос Dyson V15,699.99,Бытовая техника,4,4
11,Смарт-часы Garmin,299.99,Электроника,4,8
12,Кроссовки Nike Air Max,120.0,Обувь,4,15
13,Куртка зимняя Columbia,199.99,Одежда,4,6
14,Джинсы Levi's,69.99,Одежда,4,10
15,Носки мужские Puma (5 пар),12.99,Одежда,4,20
16,Шарф шерстяной,25.0,Аксессуары,4,15
17,Рюкзак городской Xiaomi,45.99,Аксессуары,4,8
18,Беспроводные наушники Sony,199.99,Электроника,4,10
19,Портативная колонка JBL,99.99,Электроника,4,12
20,Кофеварка De'Longhi,149.99,Кухонная техника,4,5
21,Мебельный стол IKEA,89.99,Мебель,4,3
22,Кресло офисное,129.99,Мебель,4,7
23,Лампа настольная Xiaomi,29.99,Аксессуары,4,15
24,Подушка ортопедическая,19.99,Домашние товары,4,20
25,Плед флисовый,14.99,Домашние товары,4,12
26,Игровая приставка PlayStation 5,499.99,Электроника,4,2
27,Электросамокат Xiaomi,399.99,Транспорт,4,4
28,Детский велосипед,99.99,Транспорт,4,6
29,Набор инструментов Stanley,59.99,Инструменты,4,5
30,Дрель Bosch,89.99,Инструменты,4,7
31,Книга 'Гарри Поттер',19.99,Книги,4,15
32,Книга 'Мастер и Маргарита',9.99,Книги,4,20
33,Обложка для паспорта,5.99,Аксессуары,4,30
34,Термокружка,15.99,Домашние товары,4,25
35,Фитнес-браслет Huawei,49.99,Электроника,4,10
36,Велосипедный шлем,39.99,Аксессуары,4,8
37,Наушники проводные Philips,19.99,Электроника,4,20
38,Фотоаппарат Canon,349.99,Электроника,4,3
39,Зеркало настенное,49.99,Мебель,4,7
40,Набор кастрюль Tefal,79.99,Кухонная техника,4,10
41,Чехол для смартфона,9.99,Аксессуары,4,25
42,Планшет Apple iPad,399.99,Электроника,4,4
43,Гитара акустическая,129.99,Музыкальные инструменты,4,5
44,Электропианино Yamaha,599.99,Музыкальные инструменты,4,2
45,Бумага для принтера,4.99,Канцелярия,4,50
46,Ручки шариковые (10 шт.),3.99,Канцелярия,4,40
47,Мяч футбольный Adidas,29.99,Спорт,4,10
48,Роликовые коньки,79.99,Спорт,4,6
49,Йога-мат,19.99,Спорт,4,12
50,Бинокль туристический,49.99,Аксессуары,4,5
51,Чемодан на колесах,89.99,Путешествия,4,4
52,Кухонные весы,14.99,Кухонная техника,4,15
53,Электрическая зубная щетка Oral-B,29.99,Бытовая техника,4,10
54,Вафельница Tefal,49.99,Кухонная техника,4,6
55,Сушилка для овощей,69.99,Кухонная техника,4,8
56,Геймерская мышь Logitech,39.99,Компьютеры,4,10
57,Клавиатура механическая,79.99,Компьютеры,4,7
58,Монитор Samsung 27'',199.99,Компьютеры,4,4
59,Принтер Epson,119.99,Компьютеры,4,6
60,Зарядное устройство Baseus,19.99,Электроника,4,20
61,Мультиварка Redmond,99.99,Кухонная техника,4,8
62,Сковорода Tefal,29.99,Кухонная техника,4,12
63,Чайник электрический Bosch,34.99,Кухонная техника,4,10
64,Вентилятор настольный,24.99,Бытовая техника,4,15
65,Увлажнитель воздуха,49.99,Бытовая техника,4,7
66,Пылесос робот Xiaomi,249.99,Бытовая техника,4,3
67,Лежак для кошки,25.99,Товары для животных,4,12
68,Игрушка для собак,9.99,Товары для животных,4,20
69,Махровые полотенца (набор),19.99,Домашние товары,4,15
70,Коврик для ванной,12.99,Домашние товары,4,20
71,Линейка металлическая,2.99,Канцелярия,4,30
72,Рюкзак для ноутбука,59.99,Аксессуары,4,10
73,Мышь беспроводная,15.99,Компьютеры,4,20
74,Кулер для процессора,29.99,Компьютеры,4,8
75,Пауэрбанк Xiaomi,25.99,Электроника,4,10
76,Чехол для планшета,14.99,Аксессуары,4,12
77,Шампунь Head & Shoulders,6.99,Косметика,4,25
78,Крем для рук,4.99,Косметика,4,30
79,Духи Chanel No.5,99.99,Косметика,4,5
80,Пазл 1000 элементов,12.99,Игрушки,4,10
81,Конструктор LEGO,59.99,Игрушки,4,8
82,Настольная игра 'Монополия',29.99,Игрушки,4,6
83,Детский рюкзак,19.99,Аксессуары,4,10
84,Набор для пикника,39.99,Товары для отдыха,4,5
85,Палатка туристическая,89.99,Товары для отдыха,4,4
86,Газовая горелка,19.99,Товары для отдыха,4,8
87,Термос 1 литр,24.99,Товары для отдыха,4,15
88,Скатерть праздничная,14.99,Домашние товары,4,12
